"View Credit Memo","View Credit Memo"
"Issue Credit Memo","Issue Credit Memo"
"Approve","Approve"
"Approve this withdrawal request?","Approve this withdrawal request?"
"Deny","Deny"
"Legal reason for denial (min 10 chars):","Legal reason for denial (min 10 chars):"
"Cancel Request","Cancel Request"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):"
"Resend Receipt","Resend Receipt"
"Send the receipt email again? The customer will receive another copy.","Send the receipt email again? The customer will receive another copy."
"Withdrawal Request #%1","Withdrawal Request #%1"
"Request Details","Request Details"
"Information","Information"
"Reason for Denial","Reason for Denial"
"Customer Cancellation Note","Customer Cancellation Note"
"Cancellation Note","Cancellation Note"
"Status-Change Note","Status-Change Note"
"Code","Code"
"Label","Label"
"Add Reason","Add Reason"
"In progress","In progress"
"Refund issued","Refund issued"
"Denied","Denied"
"Cancelled","Cancelled"
"Pending","Pending"
"This is a transactional email about your order.","This is a transactional email about your order."
"Reason for denial","Reason for denial"
"Your cancellation note","Your cancellation note"
"Note from our team","Note from our team"
"EU right of withdrawal","EU right of withdrawal"
"Withdrawal right pending delivery","Withdrawal right pending delivery"
"Withdrawal window has ended","Withdrawal window has ended"
"Not eligible for withdrawal","Not eligible for withdrawal"
"Withdrawal already requested","Withdrawal already requested"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered."
"Your 14-day withdrawal window will begin once this order is delivered.","Your 14-day withdrawal window will begin once this order is delivered."
"The 14-day window for withdrawing from this contract has ended.","The 14-day window for withdrawing from this contract has ended."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","A withdrawal request for this order has been submitted. See the request details below."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.)."
"This order contains a custom-made or personalised item that cannot be returned.","This order contains a custom-made or personalised item that cannot be returned."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout)."
"%1 item(s) · Refund %2","%1 item(s) · Refund %2"
"Awaiting confirmation","Awaiting confirmation"
"Cancel withdrawal %1? Your refund will not be processed.","Cancel withdrawal %1? Your refund will not be processed."
"Submitted","Submitted"
"Approved","Approved"
"Fully returned","Fully returned"
"Return requested","Return requested"
"Not eligible","Not eligible"
"Partially requested","Partially requested"
"— Select a reason —","— Select a reason —"
"Other","Other"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","The refund will be issued using your original payment method within 5-7 business days after we receive your return."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1."
"Request #%1 not found.","Request #%1 not found."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Receipt email re-queued for request #%1. Delivery will retry asynchronously."
"Failed to queue receipt resend: %1","Failed to queue receipt resend: %1"
"Note text is empty.","Note text is empty."
"Note added to request #%1.","Note added to request #%1."
"Request #%1 approved.","Request #%1 approved."
"Request #%1 cancelled.","Request #%1 cancelled."
"Request #%1 denied.","Request #%1 denied."
"Invalid request id.","Invalid request id."
"Unable to open temporary file for CSV export.","Unable to open temporary file for CSV export."
"Withdrawal Requests","Withdrawal Requests"
"%1 requests queued for acceptance.","%1 requests queued for acceptance."
"%1 request(s) approved.","%1 request(s) approved."
"%1 request(s) failed. First errors: %2","%1 request(s) failed. First errors: %2"
"Note added to %1 request(s).","Note added to %1 request(s)."
"Underlying order #%1 not found.","Underlying order #%1 not found."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline."
"Some items are no longer eligible. Please reload and try again.","Some items are no longer eligible. Please reload and try again."
"We could not process your request. Please try again.","We could not process your request. Please try again."
"Item","Item"
"We could not find a matching order for that email.","We could not find a matching order for that email."
"Withdraw from a contract","Withdraw from a contract"
"Withdrawal not found.","Withdrawal not found."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","This withdrawal can no longer be cancelled online. Contact us if you need help."
"Withdrawal #%1 cancelled.","Withdrawal #%1 cancelled."
"Please fill in all required fields.","Please fill in all required fields."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU)."
"Please select at least one item to withdraw.","Please select at least one item to withdraw."
"One or more items are no longer available for withdrawal. Please refresh and try again.","One or more items are no longer available for withdrawal. Please refresh and try again."
"None of the selected items are eligible for withdrawal.","None of the selected items are eligible for withdrawal."
"Hash mismatch for quote item %1","Hash mismatch for quote item %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Requested qty %1 exceeds remaining %2 for order item %3"
"No delivery confirmation recorded for this order yet.","No delivery confirmation recorded for this order yet."
"No eligible items selected for withdrawal","No eligible items selected for withdrawal"
"Physical goods","Physical goods"
"Digital content (non-tangible)","Digital content (non-tangible)"
"Digital service (SaaS / subscription)","Digital service (SaaS / subscription)"
"Financial services (Enterprise tier)","Financial services (Enterprise tier)"
"Downloadable products","Downloadable products"
"Virtual products","Virtual products"
"Bundles containing digital children","Bundles containing digital children"
"Custom attribute flag","Custom attribute flag"
"locale_inheritance.xml missing at %1","locale_inheritance.xml missing at %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml unreadable at %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml failed XSD validation: %1"
"Original payment method","Original payment method"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU)."
"This email is a notification about your withdrawal request.","This email is a notification about your withdrawal request."
"5–7 business days","5–7 business days"
"This is a confirmation that your withdrawal request has been recorded.","This is a confirmation that your withdrawal request has been recorded."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","No Annex I source found for locale %1 along chain %2"
"Annex I source for locale %1 is malformed","Annex I source for locale %1 is malformed"
"Missing merchant variables for Annex I rendering: %1","Missing merchant variables for Annex I rendering: %1"
"Receipt hash mismatch for request %1","Receipt hash mismatch for request %1"
"Request %1 not found.","Request %1 not found."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Denying a withdrawal request requires a legal basis of at least 10 characters."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Withdrawal request cannot transition from ""%1"" to ""%2""."
"Request %1 is not in pending_confirm state.","Request %1 is not in pending_confirm state."
"Withdrawal request #%1 does not exist.","Withdrawal request #%1 does not exist."
"No digital items on order %1","No digital items on order %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU)."
"Waived","Waived"
"Waiver email render failed: %1","Waiver email render failed: %1"
"Right of Withdrawal — Required Information","Right of Withdrawal — Required Information"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract."
"Start Online Return","Start Online Return"
"Download Model Withdrawal Form (Annex I(B))","Download Model Withdrawal Form (Annex I(B))"
"Digital content waiver text has changed — please reload checkout.","Digital content waiver text has changed — please reload checkout."
"Digital content waiver is incomplete for item %1.","Digital content waiver is incomplete for item %1."
"bad","bad"
"smtp down","smtp down"
"smtp","smtp"
"down","down"
"No shipment found for order 42.","No shipment found for order 42."
"View","View"
"Withdrawal & Customer Information","Withdrawal & Customer Information"
"Request # %1","Request # %1"
"Request Status","Request Status"
"Submitted At","Submitted At"
"Confirmed At","Confirmed At"
"Related Order","Related Order"
"Jurisdiction","Jurisdiction"
"Contract Type","Contract Type"
"Receipt Status","Receipt Status"
"%1 attempt(s)","%1 attempt(s)"
"Receipt Error","Receipt Error"
"Customer Information","Customer Information"
"Customer Name","Customer Name"
"Email","Email"
"Locale","Locale"
"Items Selected for Withdrawal","Items Selected for Withdrawal"
"Product","Product"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Refund","Refund"
"Reason","Reason"
"Eligibility","Eligibility"
"No items associated with this request.","No items associated with this request."
"SKU","SKU"
"Ordered","Ordered"
"Withdrawing","Withdrawing"
"Refund Total","Refund Total"
"Notes for this Request","Notes for this Request"
"Internal notes — visible to admin staff only. Not sent to the customer.","Internal notes — visible to admin staff only. Not sent to the customer."
"Comment","Comment"
"Add internal note (max 2000 chars)","Add internal note (max 2000 chars)"
"Submit Comment","Submit Comment"
"No comments added yet.","No comments added yet."
" by %1"," by %1"
"Refund Totals","Refund Totals"
"Items Subtotal","Items Subtotal"
"Shipping Refund","Shipping Refund"
"Total Refund","Total Refund"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Contact us","Contact us"
"Returns","Returns"
"FAQs","FAQs"
"All rights reserved.","All rights reserved."
"Returned items","Returned items"
"No image","No image"
"Item status","Item status"
"Withdrawal options for this order","Withdrawal options for this order"
"You can return this order until %1.","You can return this order until %1."
"(Art. 11a Directive 2011/83/EU)","(Art. 11a Directive 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Submit a withdrawal request to start the refund process."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Art. 9(2)(b) Directive 2011/83/EU)"
"Start withdrawal","Start withdrawal"
"Your withdrawal requests","Your withdrawal requests"
"Submitted %1","Submitted %1"
"Show items","Show items"
"Cancel withdrawal","Cancel withdrawal"
"Qty %1","Qty %1"
"Receipt details","Receipt details"
"Receipt number","Receipt number"
"Order number","Order number"
"Confirmed","Confirmed"
"Consumer","Consumer"
"Refund total","Refund total"
"Merchant","Merchant"
"Legal basis","Legal basis"
"SKU %1","SKU %1"
"Shipping refund","Shipping refund"
"Tax refund","Tax refund"
"Total refund","Total refund"
"Digital content — Art. 16(m) notice","Digital content — Art. 16(m) notice"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records."
"Existing withdrawals for this order","Existing withdrawals for this order"
"You can cancel a withdrawal here until it is approved.","You can cancel a withdrawal here until it is approved."
"Request #%1","Request #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Estimated refund: %1 %2"
"Cancel this withdrawal","Cancel this withdrawal"
"Are you sure? This cannot be undone.","Are you sure? This cannot be undone."
"Yes, cancel","Yes, cancel"
"Keep it","Keep it"
"Order #","Order #"
"Qty: ","Qty: "
"Submission failed. Please try again.","Submission failed. Please try again."
"Network error. Please try again.","Network error. Please try again."
"Invalid server response.","Invalid server response."
"That order does not belong to your account. Please select one of your own orders.","That order does not belong to your account. Please select one of your own orders."
"Select items to return","Select items to return"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Choose all items or only some of them. Set the return quantity for each item you want to withdraw."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","You have 14 days from the day you received your order to withdraw from the contract without giving a reason."
"Back to order search","Back to order search"
"Cancel","Cancel"
"Continue to review","Continue to review"
"Review and confirm","Review and confirm"
"Order #%1","Order #%1"
"Placed on %1","Placed on %1"
"Awaiting delivery","Awaiting delivery"
"Delivered on %1","Delivered on %1"
"Total","Total"
"Return shipping","Return shipping"
"View return policy","View return policy"
"Refund method","Refund method"
"Refund will be issued to your original payment method.","Refund will be issued to your original payment method."
"Return summary","Return summary"
"Shipping & Handling","Shipping & Handling"
"Tax","Tax"
"Back to items","Back to items"
"Submit return request","Submit return request"
"Your return request has been submitted!","Your return request has been submitted!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back."
"Return request number","Return request number"
"Copy request number","Copy request number"
"Copied!","Copied!"
"Confirmation email sent","Confirmation email sent"
"We've sent the details to","We've sent the details to"
"What happens next?","What happens next?"
"Pack your items securely","Pack your items securely"
"Send them back using the provided instructions","Send them back using the provided instructions"
"We'll inspect your return","We'll inspect your return"
"Your refund will be issued to your original payment method","Your refund will be issued to your original payment method"
"Need more help?","Need more help?"
"View my returns","View my returns"
"Contact support","Contact support"
"Purchased","Purchased"
"Returned","Returned"
"Decrease quantity","Decrease quantity"
"Increase quantity","Increase quantity"
"Has the hygiene seal been broken after delivery?","Has the hygiene seal been broken after delivery?"
"Has the original software / media seal been broken after delivery?","Has the original software / media seal been broken after delivery?"
"No, the seal is intact","No, the seal is intact"
"Refund possible — return the unopened package.","Refund possible — return the unopened package."
"Yes, the seal is broken","Yes, the seal is broken"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","This item cannot be returned (Art. 16(e) Directive 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","This item cannot be returned (Art. 16(i) Directive 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero."
"Reason for return (optional)","Reason for return (optional)"
"Tell us more (optional, max 500 chars)","Tell us more (optional, max 500 chars)"
"Already returned.","Already returned."
"awaiting admin review","awaiting admin review"
"awaiting confirmation","awaiting confirmation"
"Request %1 %2 (%3 item%4).","Request %1 %2 (%3 item%4)."
"Return request awaiting review.","Return request awaiting review."
"Cancel request","Cancel request"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason."
"Read your full pre-contract rights (Art. 6)","Read your full pre-contract rights (Art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:"
"The main characteristics of the goods or services.","The main characteristics of the goods or services."
"The identity and contact details of the trader.","The identity and contact details of the trader."
"The total price including all taxes and any delivery costs.","The total price including all taxes and any delivery costs."
"The arrangements for payment, delivery and performance, and complaint-handling.","The arrangements for payment, delivery and performance, and complaint-handling."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal."
"Delivery: %1","Delivery: %1"
"Total paid","Total paid"
"Pick an order to withdraw from","Pick an order to withdraw from"
"Select a recent order to start your withdrawal.","Select a recent order to start your withdrawal."
"Select","Select"
"Withdrawal progress","Withdrawal progress"
"title","title"
"subtitle","subtitle"
"Items to return","Items to return"
"0 items","0 items"
"Refund summary","Refund summary"
"No items in this order are currently eligible for withdrawal.","No items in this order are currently eligible for withdrawal."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel."
"No items selected yet. Use the + button next to an item to add it to your return.","No items selected yet. Use the + button next to an item to add it to your return."
"Find your order","Find your order"
"Enter the details you used during checkout to start a return or withdrawal.","Enter the details you used during checkout to start a return or withdrawal."
"We could not find an order matching that email. Double-check your order number and email address.","We could not find an order matching that email. Double-check your order number and email address."
"e.g. 12345","e.g. 12345"
"You can find this in your order confirmation email.","You can find this in your order confirmation email."
"Email address","Email address"
"you@example.com","you@example.com"
"Must match the email used for the order.","Must match the email used for the order."
"Find my order","Find my order"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason."
"Need help finding your order?","Need help finding your order?"
"Select an order","Select an order"
"Choose an order from your history to start a return or withdrawal.","Choose an order from your history to start a return or withdrawal."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order."
"View all my orders","View all my orders"
"items","items"
"Select order","Select order"
"No recent withdrawal","No recent withdrawal"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email."
"Start a new withdrawal","Start a new withdrawal"
"Withdrawal #%1 submitted","Withdrawal #%1 submitted"
"Related order:","Related order:"
"Items","Items"
"Items included in this withdrawal","Items included in this withdrawal"
"Line Total","Line Total"
"What happens next","What happens next"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right."
